Time(s),CH1V,CH2V
4.860000e+01,2.225600e-01,-1.164333e+01
4.870000e+01,2.229067e-01,-1.151667e+01
4.880000e+01,2.450133e-01,-1.136867e+01
4.890000e+01,2.362133e-01,-1.136200e+01
4.900000e+01,2.344800e-01,-1.135200e+01
4.910000e+01,2.289333e-01,-1.139733e+01
4.920000e+01,2.443200e-01,-1.136333e+01
4.930000e+01,2.505867e-01,-1.136467e+01
4.940000e+01,2.222133e-01,-1.148533e+01
4.950000e+01,2.221600e-01,-1.141133e+01
4.960000e+01,2.271200e-01,-1.137933e+01
4.970000e+01,2.130667e-01,-1.116667e+01
4.980000e+01,2.546933e-01,-1.123267e+01
4.990000e+01,2.266667e-01,-1.149067e+01
5.000000e+01,2.383733e-01,-1.131533e+01
5.010000e+01,2.313600e-01,-1.137533e+01
5.020000e+01,2.252800e-01,-1.137933e+01
5.030000e+01,2.263733e-01,-1.140467e+01
5.040000e+01,2.259200e-01,-1.151267e+01
5.050000e+01,2.282933e-01,-1.150733e+01
5.060000e+01,2.913600e-01,-1.097867e+01
5.070000e+01,2.308800e-01,-1.148400e+01
5.080000e+01,2.174667e-01,-1.158933e+01
5.090000e+01,2.223733e-01,-1.138933e+01
5.100000e+01,2.128267e-01,-1.130267e+01
5.110000e+01,1.888533e-01,-1.144000e+01
5.120000e+01,2.175200e-01,-1.132333e+01
5.130000e+01,2.306667e-01,-1.138400e+01
5.140000e+01,2.179200e-01,-1.149933e+01
5.150000e+01,2.070933e-01,-1.138133e+01
5.160000e+01,2.264800e-01,-1.129200e+01
5.170000e+01,2.288000e-01,-1.149933e+01
5.180000e+01,2.275467e-01,-1.144800e+01
5.190000e+01,2.200533e-01,-1.143867e+01
5.200000e+01,2.333333e-01,-1.147267e+01
5.210000e+01,2.295733e-01,-1.133133e+01
5.220000e+01,2.243467e-01,-1.139467e+01
5.230000e+01,2.279467e-01,-1.144667e+01
5.240000e+01,2.345867e-01,-1.135200e+01
5.250000e+01,2.236533e-01,-1.151533e+01
5.260000e+01,2.292267e-01,-1.147000e+01
5.270000e+01,2.311733e-01,-1.135800e+01
5.280000e+01,2.218667e-01,-1.144533e+01
5.290000e+01,2.291467e-01,-1.139333e+01
5.300000e+01,1.847467e-01,-1.143200e+01
5.310000e+01,2.305333e-01,-1.142600e+01
5.320000e+01,2.241067e-01,-1.138267e+01
5.330000e+01,2.213867e-01,-1.138533e+01
5.340000e+01,2.543467e-01,-1.148400e+01
5.350000e+01,2.300267e-01,-1.135933e+01
5.360000e+01,2.267200e-01,-1.134533e+01
5.370000e+01,2.511733e-01,-1.133267e+01
5.380000e+01,2.314667e-01,-1.138533e+01
5.390000e+01,2.267200e-01,-1.128333e+01
5.400000e+01,2.271200e-01,-1.137533e+01
5.410000e+01,2.248000e-01,-1.146067e+01
5.420000e+01,2.330933e-01,-1.156800e+01
5.430000e+01,2.116533e-01,-1.143467e+01
5.440000e+01,2.244000e-01,-1.137933e+01
5.450000e+01,2.305333e-01,-1.131533e+01
5.460000e+01,2.308267e-01,-1.143467e+01
5.470000e+01,2.408000e-01,-1.133733e+01
5.480000e+01,2.228533e-01,-1.154000e+01
5.490000e+01,2.325067e-01,-1.140733e+01
5.500000e+01,2.222667e-01,-1.139067e+01
5.510000e+01,2.289333e-01,-1.137133e+01
5.520000e+01,2.273600e-01,-1.135467e+01
5.530000e+01,2.254400e-01,-1.131800e+01
5.540000e+01,2.277067e-01,-1.154000e+01
5.550000e+01,2.235467e-01,-1.130800e+01
